dataset,backbone,combination,seed,method,budget,trajectory_regime,tasks,used,coverage,auroc,aupr,mean_trajectories,webshop_bucket_variant
dbbench,gptoss20b,dbbench-gptoss20b,101,EigV,16,complete_z16_ordered_prefix,300,300,1.0,0.6682441479292673,0.5719497296242062,16.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,KLE,3,complete_z16_ordered_prefix,300,300,1.0,0.5922941964079598,0.479504132231405,3.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,KLE,4,complete_z16_ordered_prefix,300,300,1.0,0.5925250473244378,0.5092862102355588,4.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,KLE,6,complete_z16_ordered_prefix,300,300,1.0,0.6326238515166905,0.5203156549028373,6.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,KLE,8,complete_z16_ordered_prefix,300,300,1.0,0.6583868137956508,0.5367151788378627,8.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,KLE,12,complete_z16_ordered_prefix,300,300,1.0,0.6624728750173138,0.5415754361279246,12.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,KLE,16,complete_z16_ordered_prefix,300,300,1.0,0.6673207442633547,0.5566019720321517,16.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,LS,3,complete_z16_ordered_prefix,300,300,1.0,0.6258830047555289,0.6023168954567749,3.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,LS,4,complete_z16_ordered_prefix,300,300,1.0,0.6283761946534928,0.5919247933634999,4.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,LS,6,complete_z16_ordered_prefix,300,300,1.0,0.628353109561845,0.5918138408511752,6.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,LS,8,complete_z16_ordered_prefix,300,300,1.0,0.628353109561845,0.5919039775941797,8.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,LS,12,complete_z16_ordered_prefix,300,300,1.0,0.6283300244701971,0.5917930250818548,12.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,LS,16,complete_z16_ordered_prefix,300,300,1.0,0.628353109561845,0.5919039775941797,16.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,MC-OE,3,complete_z16_ordered_prefix,300,300,1.0,0.7242485802668637,0.6156872309416096,3.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,MC-OE,4,complete_z16_ordered_prefix,300,300,1.0,0.7189851793711621,0.6109846645808563,4.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,MC-OE,6,complete_z16_ordered_prefix,300,300,1.0,0.7374070825061176,0.6389932609750675,6.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,MC-OE,8,complete_z16_ordered_prefix,300,300,1.0,0.7629161087769519,0.6801116688940746,8.0,
dbbench,gptoss20b,dbbench-gptoss20b,101,MC-OE,12,complete_z16_ordered_prefix,300,300,1.0,0.7756821644581928,0.6739931457792107,12.0,
