setting,rho,window,dataset,backbone,seed,cell,delta_auroc,delta_aupr,saving,mean_trajectories
rho70_w6,0.7,6,dbbench,qwen35,101,dbbench-qwen35-seed101,0.007797364586835683,0.01217591646707695,0.2983101851851852,5.731111111111112
rho70_w6,0.7,6,dbbench,qwen35,202,dbbench-qwen35-seed202,-0.012806096951524201,-0.02572462605897859,0.2992708333333333,5.722222222222222
rho70_w6,0.7,6,dbbench,qwen35,303,dbbench-qwen35-seed303,-0.004030413452589421,-0.01533750836221994,0.2985763888888889,5.7250000000000005
rho70_w6,0.7,6,hotpotqa,gemma3,101,hotpotqa-gemma3-seed101,-0.015196179108324362,-0.011390491516718984,0.29969444444444443,5.716666666666668
rho70_w6,0.7,6,hotpotqa,gemma3,202,hotpotqa-gemma3-seed202,-0.017937607621622498,-0.02020838826989622,0.2986701388888889,5.7245
rho70_w6,0.7,6,hotpotqa,gemma3,303,hotpotqa-gemma3-seed303,-0.011792411699446096,-0.017627322123688338,0.29932638888888885,5.719666666666666
rho70_w6,0.7,6,hotpotqa,gptoss20b,101,hotpotqa-gptoss20b-seed101,-0.01167693464192271,-0.028882810754278565,0.29928472222222224,5.720666666666666
rho70_w6,0.7,6,hotpotqa,gptoss20b,202,hotpotqa-gptoss20b-seed202,-0.018922803944028954,-0.03310913437770402,0.30033333333333334,5.715333333333334
rho70_w6,0.7,6,hotpotqa,gptoss20b,303,hotpotqa-gptoss20b-seed303,-0.01236809987097672,-0.026910706463878664,0.3000833333333333,5.7171666666666665
rho70_w6,0.7,6,hotpotqa,qwen35,101,hotpotqa-qwen35-seed101,-0.01755337957296336,-0.02639024828824658,0.29869097222222224,5.726166666666667
rho70_w6,0.7,6,hotpotqa,qwen35,202,hotpotqa-qwen35-seed202,-0.019106609828436278,-0.03425035419642497,0.2991944444444445,5.72
rho70_w6,0.7,6,hotpotqa,qwen35,303,hotpotqa-qwen35-seed303,-0.019032354451783657,-0.028689966487630503,0.29890625,5.724
rho70_w6,0.7,6,strategyqa,gemma3,101,strategyqa-gemma3-seed101,-0.025514933640823873,-0.012365145681936274,0.3000111191978004,5.718340611353711
rho70_w6,0.7,6,strategyqa,gemma3,202,strategyqa-gemma3-seed202,-0.02604976671850699,-0.01252903275998434,0.3005013747371826,5.714459000485202
rho70_w6,0.7,6,strategyqa,gemma3,303,strategyqa-gemma3-seed303,-0.02339294971487819,-0.007991374302516377,0.29921761280931586,5.72197962154294
rho70_w6,0.7,6,strategyqa,gptoss20b,101,strategyqa-gptoss20b-seed101,-0.02244582043343657,-0.008774385258363502,0.29955624292414684,5.724648229015041
rho70_w6,0.7,6,strategyqa,gptoss20b,202,strategyqa-gptoss20b-seed202,-0.017871076543582776,-0.009132333406953574,0.2990407164806728,5.725376031052886
rho70_w6,0.7,6,strategyqa,gptoss20b,303,strategyqa-gptoss20b-seed303,-0.013779633984807952,-0.012761196415546558,0.30063278343846034,5.715914604560893
rho70_w6,0.7,6,strategyqa,qwen35,101,strategyqa-qwen35-seed101,-0.006481481481481514,-0.010119187168816565,0.3004053453016335,5.71688500727802
rho70_w6,0.7,6,strategyqa,qwen35,202,strategyqa-qwen35-seed202,-0.01646351968300454,-0.013266424519836117,0.298080422125182,5.731198447355652
rho70_w6,0.7,6,strategyqa,qwen35,303,strategyqa-qwen35-seed303,-0.005728314238952574,-0.0015241483372039621,0.29881833252466444,5.725861232411451
rho70_w6,0.7,6,webshop,gemma3,101,webshop-gemma3-seed101,-0.012152777777777735,-0.002720165477337518,0.29680555555555554,5.734999999999999
rho70_w6,0.7,6,webshop,gemma3,202,webshop-gemma3-seed202,0.023188791345215898,0.004864505127765669,0.29848958333333336,5.7250000000000005
rho70_w6,0.7,6,webshop,gemma3,303,webshop-gemma3-seed303,0.005064691862444644,0.0023729378354066153,0.29954861111111114,5.719166666666666
rho70_w6,0.7,6,webshop,gptoss20b,101,webshop-gptoss20b-seed101,0.005492558469170794,0.0007194265829876811,0.2996006944444444,5.716666666666668
rho70_w6,0.7,6,webshop,gptoss20b,202,webshop-gptoss20b-seed202,0.0011470734126984294,-6.0196793301159346e-05,0.3004513888888889,5.71
rho70_w6,0.7,6,webshop,gptoss20b,303,webshop-gptoss20b-seed303,0.02182539682539682,0.006180157687202648,0.29746527777777776,5.729166666666667
rho70_w6,0.7,6,webshop,qwen35,101,webshop-qwen35-seed101,-0.008101851851851824,-0.0011944577774422778,0.2998958333333333,5.715
rho70_w6,0.7,6,webshop,qwen35,202,webshop-qwen35-seed202,0.004621257785814736,-0.0010352972627585648,0.2995138888888889,5.719166666666666
rho70_w6,0.7,6,webshop,qwen35,303,webshop-qwen35-seed303,-0.01857497741644082,-0.005982350186298724,0.2993402777777778,5.721666666666667
rho70_wall,0.7,all,dbbench,gemma3,101,dbbench-gemma3-seed101,0.0030381944444444753,0.007042507759426997,0.298287037037037,5.722222222222221
rho70_wall,0.7,all,dbbench,gemma3,202,dbbench-gemma3-seed202,0.003018891907780837,-0.0012111631866194756,0.29878472222222224,5.720555555555555
rho70_wall,0.7,all,dbbench,gemma3,303,dbbench-gemma3-seed303,0.004226823708206651,0.00493886015466725,0.2983680555555555,5.7250000000000005
rho70_wall,0.7,all,dbbench,gptoss20b,101,dbbench-gptoss20b-seed101,-0.029310371362174348,-0.02975433902868844,0.2997916666666667,5.716666666666666
rho70_wall,0.7,all,dbbench,gptoss20b,202,dbbench-gptoss20b-seed202,-0.0210732471602037,-0.010478737311261551,0.2999189814814815,5.705000000000001
rho70_wall,0.7,all,dbbench,gptoss20b,303,dbbench-gptoss20b-seed303,-0.02906459139190763,-0.04076162238708266,0.2997337962962963,5.7188888888888885
rho70_wall,0.7,all,dbbench,qwen35,101,dbbench-qwen35-seed101,0.009926829658805222,0.016318915585358706,0.2989236111111111,5.721666666666667
rho70_wall,0.7,all,dbbench,qwen35,202,dbbench-qwen35-seed202,-0.011884682658670653,-0.028954623603347347,0.2997569444444444,5.714444444444445
rho70_wall,0.7,all,dbbench,qwen35,303,dbbench-qwen35-seed303,-0.00216112189042957,-0.01846559884569025,0.29865740740740737,5.726111111111112
