dataset,backbone,seed,budget,count_mse,fused_mse,coverage95,mean_variance
strategyqa,gemma3,303,8,0.029801771876690426,0.027125095667597365,0.9854439592430859,0.024847400092455882
strategyqa,gemma3,303,12,0.018429895265848466,0.017411953793084356,0.9868995633187773,0.017812258472652914
strategyqa,gemma3,303,16,0.012056105435245766,0.011622562690727192,0.9970887918486172,0.013655406207355463
strategyqa,gptoss20b,101,3,0.07387121930617707,0.046394526973159114,0.9286754002911208,0.034196275458430014
strategyqa,gptoss20b,101,4,0.062124922173977117,0.03863511244651688,0.9272197962154294,0.030243552153213657
strategyqa,gptoss20b,101,6,0.04475332814310104,0.029441238201121673,0.950509461426492,0.025026164331258233
strategyqa,gptoss20b,101,8,0.03347651148100177,0.023924487125021238,0.9577874818049491,0.02138403811178245
strategyqa,gptoss20b,101,12,0.020780511984679447,0.016441364004650544,0.9737991266375546,0.016590601960724132
strategyqa,gptoss20b,101,16,0.012832346906081253,0.011985818473515973,0.982532751091703,0.013437961645937543
strategyqa,gptoss20b,202,3,0.07381072325547898,0.05420213611369645,0.925764192139738,0.03663370948243711
strategyqa,gptoss20b,202,4,0.05936747712933564,0.04344544066196245,0.9388646288209607,0.032535024112024385
strategyqa,gptoss20b,202,6,0.04144892977115586,0.03289512196815311,0.9490538573508006,0.026177941674149892
strategyqa,gptoss20b,202,8,0.031021917245523202,0.024904424137968343,0.9577874818049491,0.02168902361806665
strategyqa,gptoss20b,202,12,0.0199044524850032,0.017913475023775532,0.9665211062590975,0.016972973529361234
strategyqa,gptoss20b,202,16,0.012704166740585833,0.012034049660210266,0.9796215429403202,0.013853539093502816
strategyqa,gptoss20b,303,3,0.0749486656436342,0.04462594325526897,0.9330422125181951,0.03202232434654798
strategyqa,gptoss20b,303,4,0.06113868383766307,0.03985900876911724,0.9388646288209607,0.03021795055409998
strategyqa,gptoss20b,303,6,0.043715587528241236,0.031142377688769853,0.9432314410480349,0.02506627375825303
strategyqa,gptoss20b,303,8,0.032574767982964284,0.025374358794887395,0.9548762736535662,0.021508106690905728
strategyqa,gptoss20b,303,12,0.01975943875007655,0.017241638266343673,0.9621542940320232,0.01656989696480317
strategyqa,gptoss20b,303,16,0.012629222138533226,0.011955306853914592,0.975254730713246,0.013475862055701605
strategyqa,qwen35,101,3,0.0694433352749512,0.056875118546033596,0.9170305676855895,0.04013463855334346
strategyqa,qwen35,101,4,0.05819371990757315,0.04690876672827399,0.9403202328966521,0.03562305345682364
strategyqa,qwen35,101,6,0.043369372414511366,0.035970540107137676,0.9650655021834061,0.029515782240439985
strategyqa,qwen35,101,8,0.032430985864052686,0.028145681143391253,0.9679767103347889,0.025184149694960623
strategyqa,qwen35,101,12,0.02062284003734945,0.019354907888929483,0.9854439592430859,0.019952520529168752
strategyqa,qwen35,101,16,0.012234879173853035,0.012362387042865323,0.9970887918486172,0.016266864054916938
strategyqa,qwen35,202,3,0.07387114685179667,0.06112021278582436,0.8995633187772926,0.03993146814486729
strategyqa,qwen35,202,4,0.06191588384718318,0.05243980726925788,0.9199417758369723,0.0361788438781288
strategyqa,qwen35,202,6,0.04450443913893743,0.03915444194334976,0.9519650655021834,0.030286796583455927
strategyqa,qwen35,202,8,0.03231442010229077,0.029396157481863458,0.975254730713246,0.02605883826386796
strategyqa,qwen35,202,12,0.019720269040931312,0.018531096772120385,0.9883551673944687,0.019997464952540244
strategyqa,qwen35,202,16,0.012275892668294349,0.012280074001698425,0.9941775836972343,0.016267226868222257
strategyqa,qwen35,303,3,0.07251071726985217,0.05941307771883671,0.9126637554585153,0.039885439985841195
strategyqa,qwen35,303,4,0.061446383430246956,0.04974466840577344,0.9417758369723436,0.036092220740307164
strategyqa,qwen35,303,6,0.04276686442989624,0.03566801060902629,0.9665211062590975,0.02977765085346735
